path,y,a,split
CelebA/img_align_celeba/182526.jpg,0,0,0
CelebA/img_align_celeba/109578.jpg,0,0,0
CelebA/img_align_celeba/081328.jpg,0,0,0
CelebA/img_align_celeba/059633.jpg,0,0,0
CelebA/img_align_celeba/054696.jpg,0,0,0
CelebA/img_align_celeba/040685.jpg,0,0,0
CelebA/img_align_celeba/157262.jpg,0,0,0
CelebA/img_align_celeba/051753.jpg,0,0,0
CelebA/img_align_celeba/068989.jpg,0,0,0
CelebA/img_align_celeba/106183.jpg,0,0,0
CelebA/img_align_celeba/015980.jpg,0,0,0
CelebA/img_align_celeba/132558.jpg,0,0,0
CelebA/img_align_celeba/013892.jpg,0,0,0
CelebA/img_align_celeba/125953.jpg,0,0,0
CelebA/img_align_celeba/088229.jpg,0,0,0
CelebA/img_align_celeba/066689.jpg,0,0,0
CelebA/img_align_celeba/100186.jpg,0,0,0
CelebA/img_align_celeba/028921.jpg,0,0,0
CelebA/img_align_celeba/146337.jpg,0,0,0
CelebA/img_align_celeba/096445.jpg,0,0,0
CelebA/img_align_celeba/037512.jpg,0,0,0
CelebA/img_align_celeba/041825.jpg,0,0,0
CelebA/img_align_celeba/167895.jpg,0,0,0
CelebA/img_align_celeba/023365.jpg,0,0,0
CelebA/img_align_celeba/129291.jpg,0,0,0
CelebA/img_align_celeba/041872.jpg,0,0,0
CelebA/img_align_celeba/054138.jpg,0,0,0
CelebA/img_align_celeba/090985.jpg,0,0,0
CelebA/img_align_celeba/037209.jpg,0,0,0
CelebA/img_align_celeba/124577.jpg,0,0,0
CelebA/img_align_celeba/180544.jpg,0,0,0
CelebA/img_align_celeba/064686.jpg,0,0,0
CelebA/img_align_celeba/014188.jpg,0,0,0
CelebA/img_align_celeba/142281.jpg,0,0,0
CelebA/img_align_celeba/170443.jpg,0,0,0
CelebA/img_align_celeba/135451.jpg,0,0,0
CelebA/img_align_celeba/135408.jpg,0,0,0
CelebA/img_align_celeba/037815.jpg,0,0,0
CelebA/img_align_celeba/050627.jpg,0,0,0
CelebA/img_align_celeba/135319.jpg,0,0,0
CelebA/img_align_celeba/123944.jpg,0,0,0
CelebA/img_align_celeba/172672.jpg,0,0,0
CelebA/img_align_celeba/066174.jpg,0,0,0
CelebA/img_align_celeba/033532.jpg,0,0,0
CelebA/img_align_celeba/005823.jpg,0,0,0
CelebA/img_align_celeba/051546.jpg,0,0,0
CelebA/img_align_celeba/178163.jpg,0,0,0
CelebA/img_align_celeba/056140.jpg,0,0,0
CelebA/img_align_celeba/095559.jpg,0,0,0
CelebA/img_align_celeba/073739.jpg,0,0,0
CelebA/img_align_celeba/159284.jpg,0,0,0
CelebA/img_align_celeba/147978.jpg,0,0,0
CelebA/img_align_celeba/127869.jpg,0,0,0
CelebA/img_align_celeba/048757.jpg,0,0,0
CelebA/img_align_celeba/127323.jpg,0,0,0
CelebA/img_align_celeba/031459.jpg,0,0,0
CelebA/img_align_celeba/047774.jpg,0,0,0
CelebA/img_align_celeba/060208.jpg,0,0,0
CelebA/img_align_celeba/053256.jpg,0,0,0
CelebA/img_align_celeba/124693.jpg,0,0,0
CelebA/img_align_celeba/159805.jpg,0,0,0
CelebA/img_align_celeba/140269.jpg,0,0,0
CelebA/img_align_celeba/166017.jpg,0,0,0
CelebA/img_align_celeba/140539.jpg,0,0,0
CelebA/img_align_celeba/040843.jpg,0,0,0
CelebA/img_align_celeba/108764.jpg,0,0,0
CelebA/img_align_celeba/173144.jpg,0,0,0
CelebA/img_align_celeba/114570.jpg,0,0,0
CelebA/img_align_celeba/051245.jpg,0,0,0
CelebA/img_align_celeba/038749.jpg,0,0,0
CelebA/img_align_celeba/182298.jpg,0,0,0
CelebA/img_align_celeba/125250.jpg,0,0,0
CelebA/img_align_celeba/171642.jpg,0,0,0
CelebA/img_align_celeba/167438.jpg,0,0,0
CelebA/img_align_celeba/133741.jpg,0,0,0
CelebA/img_align_celeba/117065.jpg,0,0,0
CelebA/img_align_celeba/120184.jpg,0,0,0
CelebA/img_align_celeba/101665.jpg,0,0,0
CelebA/img_align_celeba/011339.jpg,0,0,0
CelebA/img_align_celeba/076451.jpg,0,0,0
CelebA/img_align_celeba/016228.jpg,0,0,0
